model_path;filename;url
ciklon/ciklon4;cyc4_osb_b (2).JPG;https://drive.google.com/uc?export=download&id=1b7qsLsrQHP4tiQqn7dHlA2DLS9_2LMTL
ciklon/ciklon4;cyc4_osb_b (1).JPG;https://drive.google.com/uc?export=download&id=1UhaRtT4xpcG4mF9PkTbymThudFLeCTHm
ciklon/ciklon4;cyc4_lg_r (2).JPG;https://drive.google.com/uc?export=download&id=15T6UZ1I_s24iY_I08TY23vwZV_gXC77w
ciklon/ciklon4;cyc4_lg_r (1).JPG;https://drive.google.com/uc?export=download&id=1lQ9Pd_x7pV6Wg76vVVfg2smJ9fLYzt7f
ciklon/ciklon4;cyc4_lg_l (4).JPG;https://drive.google.com/uc?export=download&id=1ZHgaYUUNZvTo_GZATyuUMhUaulNJZL3M
ciklon/ciklon4;cyc4_lg_l (3).JPG;https://drive.google.com/uc?export=download&id=10fkXLtpCQkE_rtUR8mhXxkT0a7KEYEBO
ciklon/ciklon4;cyc4_lg_l (2).JPG;https://drive.google.com/uc?export=download&id=1HlBW1Srzpisdpoz4J5PRQK5KMXUekmP9
ciklon/ciklon4;cyc4_lg_l (1).JPG;https://drive.google.com/uc?export=download&id=1SstsdnTvHXv683H8accKB3FBS2omgnd0
ciklon/ciklon4;cyc4_lg_fr (4).JPG;https://drive.google.com/uc?export=download&id=1mG6blNoHx0JX_7C8TMpCyMkU3l-oXXnB
ciklon/ciklon4;cyc4_lg_fr (3).JPG;https://drive.google.com/uc?export=download&id=14Dn038DNZayZTdjCgOg8LuBTIvAIPwOb
ciklon/ciklon4;cyc4_lg_fr (2).JPG;https://drive.google.com/uc?export=download&id=1k_b2VU7Wc4ed1OXGN-KrwteOb9iNGMBE
ciklon/ciklon4;cyc4_lg_fr (1).JPG;https://drive.google.com/uc?export=download&id=1MKxuRjaDXLjKctXRr4I4vwsx-Fv1IXAu
ciklon/ciklon4;cyc4_lg_b (3).JPG;https://drive.google.com/uc?export=download&id=1D1nThqxh2BjmXUCi25fI9TTQRRyQ-yiK
ciklon/ciklon4;cyc4_lg_b (1).JPG;https://drive.google.com/uc?export=download&id=11oafFDgVBpznX6mwu5zuSjES67HKKsBK
ciklon/ciklon4;cyc4_lg_b (2).JPG;https://drive.google.com/uc?export=download&id=11hz61OJjWz-WN1xLhM6LE3550CoWXSnT
ciklon/ciklon4;cyc4_kr_r (5).JPG;https://drive.google.com/uc?export=download&id=1KlbOlmeZ1GeRisDlLovO-G2DmwHl8lAF
ciklon/ciklon4;cyc4_kr_r (4).JPG;https://drive.google.com/uc?export=download&id=16jCAnvHoD7aLQtp9o3G4wu52evYgsGuK
ciklon/ciklon4;cyc4_kr_r (3).JPG;https://drive.google.com/uc?export=download&id=1TMiy8jkoE569rtsrMiyuzhushHaWFZiP
ciklon/ciklon4;cyc4_kr_r (2).JPG;https://drive.google.com/uc?export=download&id=1Sko-NVwMg21-HQLoSfJkXqJd2S7Dl_Bi
ciklon/ciklon4;cyc4_kr_r (1).JPG;https://drive.google.com/uc?export=download&id=1uc91hj8hX0htV5PyTkHuAo1jkWvfgCgj
ciklon/ciklon4;cyc4_kr_l (6).JPG;https://drive.google.com/uc?export=download&id=1P7cJdqRjJ3He6plLt1mb1x0ySo0mj0rw
ciklon/ciklon4;cyc4_kr_l (5).JPG;https://drive.google.com/uc?export=download&id=1-IzHi9iGETaMs09cuLHWJoiBGVI72YO_
ciklon/ciklon4;cyc4_kr_l (4).JPG;https://drive.google.com/uc?export=download&id=1JOM9k4Ti3bGuMjOg0BBEF3KLZjVbPcEe
ciklon/ciklon4;cyc4_kr_l (3).JPG;https://drive.google.com/uc?export=download&id=1DhixQHJ4hlJzX6LejFpYQa6vEKFflkyS
ciklon/ciklon4;cyc4_kr_l (2).JPG;https://drive.google.com/uc?export=download&id=1LipKE-ysGK9MC_n_3IlYZCTpnCSyjczT
ciklon/ciklon4;cyc4_kr_l (1).JPG;https://drive.google.com/uc?export=download&id=1wv6lgGR6lmxASj-4VL0zmBqLptcHiHMT
ciklon/ciklon4;cyc4_kr_fr (2).JPG;https://drive.google.com/uc?export=download&id=1-A5sauA0s6PEaGVsAtrfjVsEyRKXOwp7
ciklon/ciklon4;cyc4_kr_fr (1).JPG;https://drive.google.com/uc?export=download&id=11g1_HiqJk4sV_6sEajyoo_72cqLFy-AM
ciklon/ciklon4;cyc4_kr_b (2).JPG;https://drive.google.com/uc?export=download&id=1hMsn-5tSFxXZvrnfU78LxNPWItU5wNfQ
ciklon/ciklon4;cyc4_kr_b (1).JPG;https://drive.google.com/uc?export=download&id=1ZF-aQLacWeI_0G4FzD4gsI7Y9HNFwLr0
ciklon/ciklon4;cyc4_gb_r (3).JPG;https://drive.google.com/uc?export=download&id=16yuAe88rr9n_OO7XVJRH8sNgqLlp9-gN
ciklon/ciklon4;cyc4_gb_r (2).JPG;https://drive.google.com/uc?export=download&id=1mWoNPro-qcS3JTI9cKOn8ZfqLK95hSgV
ciklon/ciklon4;cyc4_gb_r (1).JPG;https://drive.google.com/uc?export=download&id=1R9LURk2F4H17dCa1S5F4k7tsLOsdt2vM
ciklon/ciklon4;cyc4_gb_mkr.JPG;https://drive.google.com/uc?export=download&id=1ZikPX4NPlFR8RB25UCOVexTxmhGrK4Yb
ciklon/ciklon4;cyc4_gb_l.JPG;https://drive.google.com/uc?export=download&id=1JV8jvxWrfv1M7mJzvL2r1DAxoW2BpMad
ciklon/ciklon4;cyc4_gb_fr.JPG;https://drive.google.com/uc?export=download&id=11y3u51TdNabzHmZ4Z3SNp2gYl554kbG8
ciklon/ciklon4;cyc4_gb_b (2).JPG;https://drive.google.com/uc?export=download&id=19JRpGGBQEKGUjiVUdU_YSZyEx7E0mAY4
ciklon/ciklon4;cyc4_gb_b (1).JPG;https://drive.google.com/uc?export=download&id=1A7D23lSk7QRkgq92iTszvYXAr5vV7B7i
ciklon/ciklon3;cyc3_skl_r (4).JPG;https://drive.google.com/uc?export=download&id=148b4SC9hbZcFXG7R0iOluKMRVM5Bh8Xm
ciklon/ciklon3;cyc3_skl_r (3).JPG;https://drive.google.com/uc?export=download&id=179sfUYfQ6BXM_btuxRVurLSampZymwE2
ciklon/ciklon3;cyc3_skl_r (2).JPG;https://drive.google.com/uc?export=download&id=1ASJ95cYZRaSLtgwfcM-BIa7Key09JF2k
ciklon/ciklon3;cyc3_skl_r (1).JPG;https://drive.google.com/uc?export=download&id=1lcRPOkUL0lW_d57VlPMLPSb4Jl0PM-H2
ciklon/ciklon3;cyc3_skl_mkr.JPG;https://drive.google.com/uc?export=download&id=1u1THkOb6iVueOppBdUcoUiEoLhltqzFd
